device=Apple M5 model=isolated-event-islands trials=5
islands ticks events_upper_bound input_MiB cpu_ms metal_submit_sync_ms metal_end_to_end_ms match
1 4096 24576 0.05 0.0587 7.4254 7.4292 1
64 1024 393216 0.75 0.8101 2.1665 2.1940 1
128 256 196608 0.38 0.4025 0.6995 0.7121 1
256 256 393216 0.75 0.8077 0.7893 0.8120 1
512 256 786432 1.50 1.6097 0.8093 0.8561 1
1024 256 1572864 3.00 3.7000 0.8573 0.9850 1
4096 256 6291456 12.00 13.4162 1.0410 1.5223 1
16384 256 25165824 48.00 46.6522 3.6236 5.5730 1
