device=Apple M5 model=isolated-event-islands trials=5
islands ticks events_upper_bound input_MiB cpu_ms metal_submit_sync_ms metal_end_to_end_ms match
1 4096 24576 0.05 0.0499 4.1844 4.1872 1
64 1024 393216 0.75 0.8057 1.3759 1.3985 1
128 256 196608 0.38 0.4022 0.6103 0.6229 1
256 256 393216 0.75 0.8049 0.6122 0.6386 1
512 256 786432 1.50 1.6091 0.6411 0.6964 1
1024 256 1572864 3.00 3.2193 0.6969 0.8374 1
4096 256 6291456 12.00 12.3576 0.7970 1.2239 1
16384 256 25165824 48.00 47.5628 3.6369 5.3318 1
