device=Apple M5 model=isolated-event-islands trials=5
islands ticks events_upper_bound input_MiB cpu_ms metal_submit_sync_ms metal_end_to_end_ms match
1 4096 24576 0.05 0.0596 7.4064 7.4095 1
64 1024 393216 0.75 0.9236 2.1372 2.1643 1
128 256 196608 0.38 0.4634 0.6785 0.6933 1
256 256 393216 0.75 0.9223 0.8143 0.8443 1
512 256 786432 1.50 1.8480 0.8008 0.8540 1
1024 256 1572864 3.00 3.6972 0.8430 0.9608 1
4096 256 6291456 12.00 13.3780 1.0018 1.5037 1
16384 256 25165824 48.00 47.6426 3.6027 5.2985 1
